"date","log_return"
1990-02-28,0.00850279135448329
1990-03-31,0.0239655057797279
1990-04-30,-0.0272552123830891
1990-05-31,0.0880009787379112
1990-06-30,-0.0089260849102093
1990-07-31,-0.00523684678881509
1990-08-31,-0.099062815412772
1990-09-30,-0.0525407104627691
1990-10-31,-0.00672074600511419
1990-11-30,0.0582068444450341
1990-12-31,0.0245245568490668
1991-01-31,0.0406790242987478
1991-02-28,0.0651144585157759
1991-03-31,0.021959938353918
1991-04-30,0.000319748237583184
1991-05-31,0.0378784401054393
1991-06-30,-0.0490774658601492
1991-07-31,0.0438822763169613
1991-08-31,0.0194582392017226
1991-09-30,-0.0193293498695599
1991-10-31,0.0117647596767396
1991-11-30,-0.0448966478087369
1991-12-31,0.105789493200655
1992-01-31,-0.0201249060419979
1992-02-29,0.00954385530957591
1992-03-31,-0.0220737036066376
1992-04-30,0.027510797732174
1992-05-31,0.00096349251741934
1992-06-30,-0.0175112642882969
1992-07-31,0.038618306803877
1992-08-31,-0.0242901634758201
1992-09-30,0.00906438788534825
1992-10-31,0.00210406758802506
1992-11-30,0.0298129521792996
1992-12-31,0.0100570251483205
1993-01-31,0.00702128090816867
1993-02-28,0.0104290554496353
1993-03-31,0.0185246532428307
1993-04-30,-0.0257453969876007
1993-05-31,0.022463263865184
1993-06-30,0.000754943497597083
1993-07-31,-0.00534128500779385
1993-08-31,0.0338524414108168
1993-09-30,-0.0100381441750983
1993-10-31,0.0192072763372995
1993-11-30,-0.0129946925677409
1993-12-31,0.0100405987830392
1994-01-31,0.0319837679060369
1994-02-28,-0.030505597516048
1994-03-31,-0.0468259306764001
1994-04-30,0.0114646718785663
1994-05-31,0.0123209288658241
1994-06-30,-0.0271562390464464
1994-07-31,0.0310042689528469
1994-08-31,0.0369091007906359
1994-09-30,-0.0272453412439972
1994-10-31,0.0206197596486764
1994-11-30,-0.0403060983247592
1994-12-31,0.0122240976788355
1995-01-31,0.0239876927407217
1995-02-28,0.0354387127748153
1995-03-31,0.0269624201036427
1995-04-30,0.0275766038428387
1995-05-31,0.0356679795657247
1995-06-30,0.0210553163061711
1995-07-31,0.0312816275925121
1995-08-31,-0.000320288764398491
1995-09-30,0.0393144326915884
1995-10-31,-0.00499177338571233
1995-11-30,0.040228861321352
1995-12-31,0.0172934755413952
1996-01-31,0.0320967312736506
1996-02-29,0.00690977421523264
1996-03-31,0.00788539597634763
1996-04-30,0.0133420201057071
1996-05-31,0.0225961785504998
1996-06-30,0.00225416742679219
1996-07-31,-0.0468275089929193
1996-08-31,0.0186391420307617
1996-09-30,0.0527853416930757
1996-10-31,0.0257661848107205
1996-11-30,0.0708089630565469
1996-12-31,-0.0217400256201898
1997-01-31,0.05951062654617
1997-02-28,0.00591009118905639
1997-03-31,-0.0435486361821429
1997-04-30,0.0567636050323612
1997-05-31,0.0569254445745235
1997-06-30,0.0425350366289043
1997-07-31,0.0752427225584924
1997-08-31,-0.0591828952940654
1997-09-30,0.0517890825490754
1997-10-31,-0.0350860778207736
1997-11-30,0.0436214533803279
1997-12-31,0.0156091381815244
1998-01-31,0.0100990103368641
1998-02-28,0.0680783664885869
1998-03-31,0.0487384622054998
1998-04-30,0.00903552566870935
1998-05-31,-0.0190056926596576
1998-06-30,0.0386804139824299
1998-07-31,-0.0116833117841351
1998-08-31,-0.157586078683432
1998-09-30,0.0605262781981875
1998-10-31,0.077233437891679
1998-11-30,0.0574440362046964
1998-12-31,0.0548435076467193
1999-01-31,0.0401908586154818
1999-02-28,-0.0328151376002515
1999-03-31,0.0380606322589117
1999-04-30,0.0372418599721316
1999-05-31,-0.0252875323361152
1999-06-30,0.0530082375900882
1999-07-31,-0.032570808945743
1999-08-31,-0.0062737304431888
1999-09-30,-0.0289673234211003
1999-10-31,0.0606618366085536
1999-11-30,0.0188824579615936
1999-12-31,0.056232775045105
2000-01-31,-0.0522448509654208
2000-02-29,-0.0203130024369012
2000-03-31,0.0923237506366767
2000-04-30,-0.0312799109533906
2000-05-31,-0.0221587523957556
2000-06-30,0.0236516315584323
2000-07-31,-0.016476267193485
2000-08-31,0.0589282236915327
2000-09-30,-0.0549663208767477
2000-10-31,-0.00496177469188552
2000-11-30,-0.0834561879235913
2000-12-31,0.00404525254568533
2001-01-31,0.0340502314092612
2001-02-28,-0.0968311448208681
2001-03-31,-0.0663585345479358
2001-04-30,0.0740070171655907
2001-05-31,0.00507727619249909
2001-06-30,-0.0253541054918207
2001-07-31,-0.0107982413190246
2001-08-31,-0.0662556285291691
2001-09-30,-0.0852566327694193
2001-10-31,0.0179372722626825
2001-11-30,0.0724842799367105
2001-12-31,0.00754529660903813
2002-01-31,-0.0156963785927955
2002-02-28,-0.0209848611197936
2002-03-31,0.0360801066672156
2002-04-30,-0.0633846547446835
2002-05-31,-0.0091229693767847
2002-06-30,-0.0752143496031783
2002-07-31,-0.0822998845936382
2002-08-31,0.00486955774176945
2002-09-30,-0.116561140508388
2002-10-31,0.0829143961191541
2002-11-30,0.0555005710434999
2002-12-31,-0.0622292661977211
2003-01-31,-0.0277974877305516
2003-02-28,-0.0171498294997656
2003-03-31,0.00832283659298838
2003-04-30,0.0779273400263794
2003-05-31,0.049645711997826
2003-06-30,0.0112585981406284
2003-07-31,0.0160935040134786
2003-08-31,0.0177153559439551
2003-09-30,-0.0120162716714285
2003-10-31,0.0535042607031233
2003-11-30,0.00710321639066258
2003-12-31,0.0495189849711046
2004-01-31,0.0171288470577151
2004-02-29,0.0121350453361053
2004-03-31,-0.0164942041786418
2004-04-30,-0.0169333147130644
2004-05-31,0.0120110280360963
2004-06-30,0.0178291113621114
2004-07-31,-0.0348922348471667
2004-08-31,0.00228473831990428
2004-09-30,0.00932030621827007
2004-10-31,0.013916952102818
2004-11-30,0.0378687769068282
2004-12-31,0.0319425732114826
2005-01-31,-0.0256157676953057
2005-02-28,0.0187268980560269
2005-03-31,-0.0193027609216907
2005-04-30,-0.0203135115002224
2005-05-31,0.0295122444890197
2005-06-30,-0.000142724364505575
2005-07-31,0.0353365322718684
2005-08-31,-0.011285547502899
2005-09-30,0.00692499112119283
2005-10-31,-0.0179000339063426
2005-11-30,0.0345812139547279
2005-12-31,-0.000952803089930399
2006-01-31,0.0251478956075806
2006-02-28,0.000453055083400322
2006-03-31,0.0110347035094502
2006-04-30,0.012082366269226
2006-05-31,-0.031404929320316
2006-06-30,8.65927553350687e-05
2006-07-31,0.00507298940598844
2006-08-31,0.0210510566201956
2006-09-30,0.024269399114309
2006-10-31,0.031021812670561
2006-11-30,0.0163325511312298
2006-12-31,0.0125368668579116
2007-01-31,0.013961131307326
2007-02-28,-0.0220883370533773
2007-03-31,0.00993051178469884
2007-04-30,0.0423798432532401
2007-05-31,0.0320307238518964
2007-06-30,-0.0179769438696766
2007-07-31,-0.0325044711803644
2007-08-31,0.0127815390189303
2007-09-30,0.0351682902627903
2007-10-31,0.0147135609401712
2007-11-30,-0.0450427826309037
2007-12-31,-0.00866594967082968
2008-01-31,-0.0631138642063087
2008-02-29,-0.0353797395924484
2008-03-31,-0.0059774528264187
2008-04-30,0.0464509519075857
2008-05-31,0.0106176148073933
2008-06-30,-0.0898835539178222
2008-07-31,-0.00990829663377379
2008-08-31,0.0121167593514935
2008-09-30,-0.0951807650769432
2008-10-31,-0.185636473886882
2008-11-30,-0.0777983573133056
2008-12-31,0.00779114667349834
2009-01-31,-0.0895498795988168
2009-02-28,-0.11645651319919
2009-03-31,0.0819526935612558
2009-04-30,0.0897722182435992
2009-05-31,0.0517205771551748
2009-06-30,0.000195808093953254
2009-07-31,0.0715219493430146
2009-08-31,0.0330093363428547
2009-09-30,0.0351000673677468
2009-10-31,-0.0199598801971197
2009-11-30,0.0557790765867372
2009-12-31,0.0176145203502998
2010-01-31,-0.0376751237121944
2010-02-28,0.0281147397418406
2010-03-31,0.0571328154163924
2010-04-30,0.0146513730069184
2010-05-31,-0.0855315728834904
2010-06-30,-0.0553884494055037
2010-07-31,0.0665157990108565
2010-08-31,-0.0486118228874188
2010-09-30,0.083928474188034
2010-10-31,0.0361930517504909
2010-11-30,-0.00229287637972408
2010-12-31,0.0632564875089985
2011-01-31,0.0223929698124117
2011-02-28,0.0314565767628245
2011-03-31,-0.00104786175458393
2011-04-30,0.0280969387702452
2011-05-31,-0.0135929194552835
2011-06-30,-0.0184261859119328
2011-07-31,-0.0217083558566635
2011-08-31,-0.0584675022719567
